#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
171 -0.000000 -0.000016 nan 0.000003 -0.000006 
172 -0.000000 -0.000016 nan -0.000006 -0.000011 
173 -0.000000 -0.000016 nan -0.000022 -0.000019 
174 -0.000000 -0.000016 nan -0.000045 -0.000030 
175 -0.000000 -0.000016 nan -0.000068 -0.000042 
176 -0.000000 -0.000016 nan -0.000088 -0.000052 
177 -0.000000 -0.000016 nan -0.000103 -0.000059 
178 -0.000000 -0.000016 nan -0.000120 -0.000068 
179 -0.000000 -0.000017 nan -0.000132 -0.000074 
180 -0.000000 -0.000017 nan -0.000125 -0.000071 
181 -0.000000 -0.000018 nan -0.000121 -0.000069 
182 -0.000000 -0.000018 nan -0.000111 -0.000064 
183 -0.000000 -0.000018 nan -0.000089 -0.000054 
184 -0.000000 -0.000019 nan -0.000059 -0.000039 
185 -0.000000 -0.000019 nan -0.000031 -0.000025 
186 -0.000000 -0.000018 nan -0.000006 -0.000012 
187 -0.000000 -0.000018 nan 0.000007 -0.000006 
188 -0.000000 -0.000018 nan 0.000008 -0.000005 
189 -0.000000 -0.000018 nan 0.000007 -0.000005 
190 -0.000000 -0.000018 nan 0.000007 -0.000005 
191 -0.000000 -0.000018 nan 0.000008 -0.000005 
192 -0.000000 -0.000017 nan 0.000008 -0.000005 
193 -0.000000 -0.000017 nan 0.000008 -0.000005 
194 -0.000000 -0.000017 nan 0.000007 -0.000005 
195 -0.000000 -0.000017 nan 0.000007 -0.000005 
196 -0.000000 -0.000017 nan -0.000011 -0.000014 
197 -0.000000 -0.000017 nan -0.000023 -0.000020 
198 -0.000000 -0.000017 nan -0.000041 -0.000029 
199 -0.000000 -0.000017 nan -0.000072 -0.000044 
200 -0.000000 -0.000017 nan -0.000104 -0.000061 
201 -0.000000 -0.000018 nan -0.000134 -0.000076 
202 -0.000000 -0.000018 nan -0.000155 -0.000087 
203 -0.000000 -0.000019 nan -0.000169 -0.000094 
204 -0.000000 -0.000020 nan -0.000176 -0.000098 
205 -0.000000 -0.000020 nan -0.000175 -0.000098 
206 -0.000000 -0.000021 nan -0.000162 -0.000092 
207 -0.000000 -0.000022 nan -0.000135 -0.000078 
208 -0.000000 -0.000022 nan -0.000069 -0.000046 
209 -0.000000 -0.000022 nan -0.000039 -0.000031 
210 -0.000000 -0.000022 nan -0.000007 -0.000014 
211 -0.000000 -0.000022 nan 0.000010 -0.000006 
212 -0.000000 -0.000022 nan 0.000010 -0.000006 
213 -0.000000 -0.000021 nan 0.000010 -0.000006 
214 -0.000000 -0.000021 nan 0.000010 -0.000006 
215 -0.000000 -0.000021 nan 0.000010 -0.000006 
216 -0.000000 -0.000020 nan 0.000009 -0.000006 
217 -0.000000 -0.000020 nan 0.000009 -0.000006 
218 -0.000000 -0.000020 nan 0.000009 -0.000006 
219 -0.000000 -0.000020 nan 0.000008 -0.000006 
220 -0.000000 -0.000020 nan -0.000017 -0.000018 
221 -0.000000 -0.000020 nan -0.000034 -0.000027 
222 -0.000000 -0.000020 nan -0.000053 -0.000036 
223 -0.000000 -0.000020 nan -0.000083 -0.000052 
224 -0.000000 -0.000020 nan -0.000114 -0.000067 
225 -0.000000 -0.000021 nan -0.000139 -0.000080 
226 -0.000000 -0.000022 nan -0.000153 -0.000087 
227 -0.000000 -0.000023 nan -0.000167 -0.000095 
228 -0.000000 -0.000024 nan -0.000175 -0.000099 
229 -0.000000 -0.000025 nan -0.000168 -0.000097 
230 -0.000000 -0.000027 nan -0.000154 -0.000090 
231 -0.000000 -0.000028 nan -0.000120 -0.000074 
232 -0.000000 -0.000028 nan -0.000069 -0.000048 
233 -0.000000 -0.000028 nan -0.000026 -0.000027 
234 -0.000000 -0.000027 nan -0.000002 -0.000015 
235 -0.000000 -0.000027 nan 0.000011 -0.000008 
236 -0.000000 -0.000026 nan 0.000014 -0.000006 
237 -0.000000 -0.000025 nan 0.000013 -0.000006 
238 -0.000000 -0.000025 nan 0.000012 -0.000006 
239 -0.000000 -0.000024 nan 0.000009 -0.000008 
240 -0.000000 -0.000024 nan 0.000009 -0.000008 
241 -0.000000 -0.000024 nan 0.000010 -0.000007 
242 -0.000000 -0.000023 nan 0.000010 -0.000007 
243 -0.000000 -0.000023 nan 0.000009 -0.000007 
244 -0.000000 -0.000023 nan -0.000011 -0.000017 
245 -0.000000 -0.000023 nan -0.000033 -0.000028 
246 -0.000000 -0.000023 nan -0.000054 -0.000038 
247 -0.000000 -0.000023 nan -0.000081 -0.000052 
248 -0.000000 -0.000024 nan -0.000106 -0.000065 
249 -0.000000 -0.000025 nan -0.000128 -0.000076 
250 -0.000000 -0.000026 nan -0.000139 -0.000082 
251 -0.000000 -0.000028 nan -0.000147 -0.000087 
252 -0.000000 -0.000030 nan -0.000149 -0.000089 
253 -0.000000 -0.000032 nan -0.000149 -0.000091 
254 -0.000000 -0.000034 nan -0.000136 -0.000085 
255 -0.000000 -0.000035 nan -0.000109 -0.000072 
256 -0.000000 -0.000035 nan -0.000066 -0.000050 
257 -0.000000 -0.000034 nan -0.000026 -0.000030 
258 -0.000000 -0.000032 nan 0.000003 -0.000015 
259 -0.000000 -0.000031 nan 0.000015 -0.000008 
260 -0.000000 -0.000030 nan 0.000019 -0.000005 
261 -0.000000 -0.000029 nan 0.000018 -0.000005 
262 -0.000000 -0.000028 nan 0.000017 -0.000005 
263 -0.000000 -0.000027 nan 0.000017 -0.000005 
264 -0.000000 -0.000026 nan 0.000014 -0.000006 
265 -0.000000 -0.000025 nan 0.000013 -0.000006 
266 -0.000000 -0.000025 nan 0.000012 -0.000007 
267 -0.000000 -0.000025 nan 0.000010 -0.000007 
268 -0.000000 -0.000024 nan -0.000005 -0.000014 
269 -0.000000 -0.000024 nan -0.000020 -0.000022 
270 -0.000000 -0.000024 nan -0.000050 -0.000037 
271 -0.000000 -0.000025 nan -0.000072 -0.000049 
272 -0.000000 -0.000026 nan -0.000091 -0.000059 
273 -0.000000 -0.000027 nan -0.000098 -0.000063 
274 -0.000000 -0.000028 nan -0.000115 -0.000072 
275 -0.000000 -0.000030 nan -0.000133 -0.000081 
276 -0.000000 -0.000032 nan -0.000143 -0.000087 
277 -0.000000 -0.000033 nan -0.000147 -0.000090 
278 -0.000000 -0.000035 nan -0.000128 -0.000081 
279 -0.000000 -0.000036 nan -0.000123 -0.000079 
280 -0.000000 -0.000036 nan -0.000070 -0.000053 
281 -0.000000 -0.000035 nan -0.000029 -0.000032 
282 -0.000000 -0.000033 nan -0.000001 -0.000017 
283 -0.000000 -0.000032 nan 0.000016 -0.000008 
284 -0.000000 -0.000030 nan 0.000020 -0.000005 
285 -0.000000 -0.000029 nan 0.000019 -0.000005 
286 -0.000000 -0.000028 nan 0.000016 -0.000006 
287 -0.000000 -0.000027 nan 0.000015 -0.000006 
288 -0.000000 -0.000027 nan 0.000014 -0.000006 
289 -0.000000 -0.000026 nan 0.000014 -0.000006 
290 -0.000000 -0.000025 nan 0.000013 -0.000006 
291 -0.000000 -0.000025 nan 0.000012 -0.000007 
292 -0.000000 -0.000025 nan -0.000004 -0.000014 
293 -0.000000 -0.000025 nan -0.000025 -0.000025 
294 -0.000000 -0.000025 nan -0.000034 -0.000029 
