#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
46 0.000000 -0.000008 nan -0.000004 -0.000008 
47 0.000000 -0.000008 nan -0.000005 -0.000008 
48 0.000005 -0.000008 nan 0.000000 -0.000007 
49 0.000006 -0.000008 nan 0.000002 -0.000007 
50 0.000004 -0.000008 nan -0.000002 -0.000007 
51 0.000003 -0.000008 nan -0.000005 -0.000008 
52 0.000003 -0.000012 nan -0.000018 -0.000013 
53 0.000003 -0.000014 nan -0.000026 -0.000015 
54 0.000004 -0.000015 nan -0.000028 -0.000016 
55 0.000007 -0.000015 nan -0.000027 -0.000016 
56 0.000024 -0.000011 nan -0.000005 -0.000010 
57 0.000016 -0.000010 nan -0.000010 -0.000010 
58 0.000016 -0.000015 nan -0.000055 -0.000019 
59 0.000017 -0.000019 nan -0.000084 -0.000026 
60 0.000013 -0.000019 nan -0.000048 -0.000022 
61 0.000011 -0.000019 nan -0.000048 -0.000022 
62 0.000010 -0.000018 nan -0.000043 -0.000021 
63 0.000009 -0.000018 nan -0.000039 -0.000020 
64 0.000008 -0.000017 nan -0.000032 -0.000018 
65 0.000007 -0.000015 nan -0.000023 -0.000016 
66 0.000006 -0.000011 nan -0.000010 -0.000011 
67 0.000006 -0.000008 nan -0.000001 -0.000007 
68 0.000005 -0.000008 nan -0.000001 -0.000007 
69 0.000006 -0.000008 nan 0.000001 -0.000007 
70 0.000005 -0.000008 nan 0.000001 -0.000007 
71 0.000006 -0.000008 nan 0.000002 -0.000007 
72 0.000006 -0.000008 nan 0.000002 -0.000007 
73 0.000005 -0.000008 nan 0.000001 -0.000007 
74 0.000007 -0.000008 nan 0.000003 -0.000007 
75 0.000008 -0.000007 nan 0.000004 -0.000006 
76 0.000009 -0.000009 nan 0.000000 -0.000008 
77 0.000014 -0.000010 nan 0.000001 -0.000009 
78 0.000017 -0.000010 nan -0.000001 -0.000009 
79 0.000016 -0.000011 nan -0.000012 -0.000011 
80 0.000017 -0.000013 nan -0.000023 -0.000014 
81 0.000015 -0.000015 nan -0.000032 -0.000017 
82 0.000013 -0.000018 nan -0.000076 -0.000024 
83 0.000012 -0.000019 nan -0.000075 -0.000024 
84 0.000011 -0.000018 nan -0.000044 -0.000021 
85 0.000010 -0.000018 nan -0.000044 -0.000021 
86 0.000009 -0.000018 nan -0.000042 -0.000021 
87 0.000008 -0.000019 nan -0.000039 -0.000021 
88 0.000009 -0.000014 nan -0.000017 -0.000014 
89 0.000014 -0.000013 nan -0.000010 -0.000013 
90 0.000014 -0.000009 nan 0.000003 -0.000007 
91 0.000013 -0.000008 nan 0.000005 -0.000007 
92 0.000011 -0.000008 nan 0.000003 -0.000007 
93 0.000010 -0.000008 nan 0.000002 -0.000007 
94 0.000009 -0.000008 nan 0.000002 -0.000007 
95 0.000008 -0.000008 nan 0.000003 -0.000007 
96 0.000009 -0.000007 nan 0.000005 -0.000006 
97 0.000010 -0.000007 nan 0.000007 -0.000006 
98 0.000012 -0.000007 nan 0.000009 -0.000006 
99 0.000018 -0.000007 nan 0.000012 -0.000005 
100 0.000379 -0.000006 nan 0.000149 0.000009 
101 0.000273 -0.000006 nan 0.000434 0.000038 
102 0.000308 -0.000005 nan 0.000476 0.000043 
103 0.000304 -0.000004 nan 0.000472 0.000043 
104 0.000306 -0.000003 nan 0.000458 0.000043 
105 0.000115 -0.000002 nan 0.000139 0.000012 
106 0.000095 -0.000003 nan 0.000080 0.000005 
107 0.000188 -0.000003 nan 0.000207 0.000018 
108 0.000481 0.000000 nan 0.000697 0.000070 
109 0.000370 0.000005 nan 0.000535 0.000058 
110 0.000241 0.000006 nan 0.000290 0.000035 
111 0.000138 0.000005 nan 0.000107 0.000015 
112 0.000060 0.000003 nan -0.000005 0.000003 
113 0.000040 0.000002 nan -0.000021 -0.000000 
114 0.000018 0.000001 nan -0.000032 -0.000003 
115 0.000015 -0.000000 nan -0.000038 -0.000004 
116 0.000012 -0.000001 nan -0.000035 -0.000004 
117 0.000013 -0.000001 nan -0.000033 -0.000004 
118 0.000012 -0.000002 nan -0.000032 -0.000005 
119 0.000011 -0.000002 nan -0.000032 -0.000005 
120 0.000009 -0.000002 nan -0.000032 -0.000005 
121 0.000008 -0.000002 nan -0.000032 -0.000005 
122 0.000008 -0.000002 nan -0.000032 -0.000005 
123 0.000007 -0.000003 nan -0.000033 -0.000006 
124 0.000008 -0.000004 nan -0.000036 -0.000007 
125 0.000013 -0.000005 nan -0.000036 -0.000008 
126 0.000014 -0.000005 nan -0.000039 -0.000008 
127 0.000020 -0.000007 nan -0.000045 -0.000011 
128 0.000041 -0.000006 nan -0.000040 -0.000009 
129 0.000018 -0.000008 nan -0.000049 -0.000012 
130 0.000017 -0.000015 nan -0.000094 -0.000022 
131 0.000014 -0.000014 nan -0.000107 -0.000024 
132 0.000012 -0.000013 nan -0.000080 -0.000020 
133 0.000010 -0.000014 nan -0.000080 -0.000021 
134 0.000009 -0.000014 nan -0.000076 -0.000020 
135 0.000008 -0.000013 nan -0.000069 -0.000019 
136 0.000007 -0.000012 nan -0.000060 -0.000017 
137 0.000006 -0.000010 nan -0.000050 -0.000014 
138 0.000006 -0.000006 nan -0.000034 -0.000008 
139 0.000005 -0.000004 nan -0.000028 -0.000007 
140 0.000005 -0.000004 nan -0.000028 -0.000007 
141 0.000005 -0.000004 nan -0.000028 -0.000007 
142 0.000004 -0.000004 nan -0.000027 -0.000006 
143 0.000004 -0.000004 nan -0.000027 -0.000006 
144 0.000004 -0.000004 nan -0.000026 -0.000006 
145 0.000004 -0.000004 nan -0.000025 -0.000006 
146 0.000003 -0.000004 nan -0.000025 -0.000006 
147 0.000003 -0.000004 nan -0.000024 -0.000006 
148 0.000003 -0.000005 nan -0.000028 -0.000007 
149 0.000003 -0.000007 nan -0.000037 -0.000010 
150 0.000003 -0.000009 nan -0.000044 -0.000012 
151 0.000003 -0.000011 nan -0.000053 -0.000015 
152 0.000003 -0.000012 nan -0.000056 -0.000016 
153 0.000003 -0.000014 nan -0.000062 -0.000019 
154 0.000002 -0.000019 nan -0.000103 -0.000028 
155 -0.000000 -0.000019 nan -0.000112 -0.000029 
156 -0.000000 -0.000016 nan -0.000075 -0.000022 
157 -0.000000 -0.000016 nan -0.000072 -0.000022 
158 -0.000000 -0.000016 nan -0.000070 -0.000021 
159 -0.000000 -0.000015 nan -0.000065 -0.000020 
160 -0.000000 -0.000013 nan -0.000057 -0.000018 
161 -0.000000 -0.000011 nan -0.000049 -0.000015 
162 -0.000000 -0.000007 nan -0.000033 -0.000009 
163 -0.000000 -0.000005 nan -0.000028 -0.000007 
164 -0.000000 -0.000005 nan -0.000027 -0.000007 
165 -0.000000 -0.000005 nan -0.000026 -0.000007 
166 -0.000000 -0.000005 nan -0.000026 -0.000007 
167 -0.000000 -0.000004 nan -0.000024 -0.000006 
168 -0.000000 -0.000004 nan -0.000024 -0.000006 
169 -0.000000 -0.000004 nan -0.000026 -0.000006 
170 -0.000000 -0.000004 nan -0.000025 -0.000006 
171 -0.000000 -0.000004 nan -0.000025 -0.000006 
172 -0.000000 -0.000006 nan -0.000029 -0.000008 
173 -0.000000 -0.000008 nan -0.000039 -0.000011 
174 -0.000000 -0.000010 nan -0.000046 -0.000014 
175 -0.000000 -0.000012 nan -0.000053 -0.000016 
176 -0.000000 -0.000015 nan -0.000067 -0.000020 
177 -0.000000 -0.000015 nan -0.000054 -0.000019 
178 -0.000000 -0.000022 nan -0.000117 -0.000032 
179 -0.000000 -0.000022 nan -0.000123 -0.000032 
180 -0.000000 -0.000017 nan -0.000073 -0.000022 
181 -0.000000 -0.000017 nan -0.000072 -0.000023 
182 -0.000000 -0.000017 nan -0.000069 -0.000022 
183 -0.000000 -0.000017 nan -0.000064 -0.000021 
184 -0.000000 -0.000015 nan -0.000056 -0.000019 
185 -0.000000 -0.000013 nan -0.000045 -0.000016 
186 -0.000000 -0.000007 nan -0.000028 -0.000009 
187 -0.000000 -0.000006 nan -0.000023 -0.000007 
188 -0.000000 -0.000006 nan -0.000022 -0.000007 
189 -0.000000 -0.000006 nan -0.000021 -0.000007 
190 -0.000000 -0.000006 nan -0.000020 -0.000007 
191 -0.000000 -0.000005 nan -0.000020 -0.000007 
192 -0.000000 -0.000005 nan -0.000018 -0.000006 
193 -0.000000 -0.000005 nan -0.000017 -0.000006 
194 -0.000000 -0.000005 nan -0.000016 -0.000006 
195 -0.000000 -0.000005 nan -0.000016 -0.000006 
196 -0.000000 -0.000006 nan -0.000019 -0.000008 
197 -0.000000 -0.000009 nan -0.000028 -0.000011 
198 -0.000000 -0.000011 nan -0.000036 -0.000013 
199 -0.000000 -0.000012 nan -0.000039 -0.000014 
200 0.000000 -0.000013 nan -0.000044 -0.000017 
201 0.000001 -0.000016 nan -0.000051 -0.000019 
202 -0.000000 -0.000022 nan -0.000096 -0.000029 
203 -0.000000 -0.000023 nan -0.000108 -0.000031 
204 -0.000000 -0.000018 nan -0.000064 -0.000022 
205 -0.000000 -0.000019 nan -0.000064 -0.000023 
206 -0.000000 -0.000019 nan -0.000063 -0.000023 
207 -0.000000 -0.000018 nan -0.000059 -0.000022 
208 -0.000000 -0.000017 nan -0.000051 -0.000020 
209 -0.000000 -0.000014 nan -0.000042 -0.000017 
210 -0.000000 -0.000008 nan -0.000016 -0.000009 
211 -0.000000 -0.000007 nan -0.000016 -0.000008 
212 -0.000000 -0.000007 nan -0.000014 -0.000007 
213 -0.000000 -0.000007 nan -0.000015 -0.000007 
214 -0.000000 -0.000006 nan -0.000013 -0.000007 
215 -0.000000 -0.000006 nan -0.000012 -0.000007 
216 -0.000000 -0.000006 nan -0.000010 -0.000006 
217 -0.000000 -0.000006 nan -0.000010 -0.000006 
218 0.000000 -0.000006 nan -0.000008 -0.000006 
219 0.000001 -0.000006 nan -0.000007 -0.000006 
220 0.000005 -0.000007 nan -0.000010 -0.000008 
221 0.000006 -0.000009 nan -0.000015 -0.000009 
222 0.000005 -0.000010 nan -0.000022 -0.000011 
223 0.000004 -0.000013 nan -0.000036 -0.000015 
224 0.000003 -0.000015 nan -0.000047 -0.000018 
225 0.000003 -0.000018 nan -0.000059 -0.000022 
226 0.000003 -0.000024 nan -0.000113 -0.000033 
227 0.000003 -0.000025 nan -0.000122 -0.000034 
228 0.000003 -0.000020 nan -0.000070 -0.000025 
229 0.000003 -0.000020 nan -0.000065 -0.000024 
230 0.000003 -0.000019 nan -0.000059 -0.000023 
231 0.000002 -0.000018 nan -0.000053 -0.000021 
232 -0.000000 -0.000017 nan -0.000046 -0.000020 
233 -0.000000 -0.000015 nan -0.000035 -0.000017 
234 -0.000000 -0.000009 nan -0.000016 -0.000010 
235 -0.000000 -0.000007 nan -0.000010 -0.000007 
236 -0.000000 -0.000007 nan -0.000009 -0.000007 
237 -0.000000 -0.000007 nan -0.000008 -0.000007 
238 -0.000000 -0.000007 nan -0.000007 -0.000007 
239 -0.000000 -0.000007 nan -0.000007 -0.000007 
240 -0.000000 -0.000007 nan -0.000006 -0.000007 
241 -0.000000 -0.000006 nan -0.000005 -0.000006 
242 -0.000000 -0.000006 nan -0.000005 -0.000006 
243 -0.000000 -0.000006 nan -0.000005 -0.000006 
244 -0.000000 -0.000009 nan -0.000011 -0.000009 
245 -0.000000 -0.000010 nan -0.000020 -0.000011 
246 -0.000000 -0.000012 nan -0.000028 -0.000014 
247 -0.000000 -0.000014 nan -0.000035 -0.000016 
248 -0.000000 -0.000016 nan -0.000044 -0.000019 
249 -0.000000 -0.000018 nan -0.000049 -0.000021 
250 -0.000000 -0.000026 nan -0.000107 -0.000034 
251 -0.000000 -0.000026 nan -0.000114 -0.000034 
252 -0.000000 -0.000020 nan -0.000059 -0.000024 
253 -0.000000 -0.000021 nan -0.000058 -0.000024 
254 -0.000000 -0.000020 nan -0.000055 -0.000024 
255 -0.000000 -0.000019 nan -0.000049 -0.000022 
256 -0.000000 -0.000018 nan -0.000042 -0.000020 
257 -0.000000 -0.000015 nan -0.000029 -0.000016 
258 -0.000000 -0.000010 nan -0.000009 -0.000010 
259 -0.000000 -0.000008 nan 0.000004 -0.000006 
260 -0.000000 -0.000007 nan 0.000004 -0.000006 
261 -0.000000 -0.000007 nan 0.000005 -0.000006 
262 -0.000000 -0.000007 nan 0.000005 -0.000006 
263 -0.000000 -0.000007 nan 0.000001 -0.000006 
264 -0.000000 -0.000007 nan -0.000001 -0.000006 
265 -0.000000 -0.000007 nan -0.000002 -0.000007 
266 -0.000000 -0.000007 nan -0.000001 -0.000006 
267 -0.000000 -0.000007 nan -0.000001 -0.000006 
268 -0.000000 -0.000009 nan -0.000008 -0.000009 
269 -0.000000 -0.000011 nan -0.000014 -0.000011 
270 -0.000000 -0.000013 nan -0.000023 -0.000014 
271 -0.000000 -0.000015 nan -0.000031 -0.000017 
272 -0.000000 -0.000017 nan -0.000027 -0.000018 
273 -0.000000 -0.000019 nan -0.000032 -0.000020 
274 -0.000000 -0.000027 nan -0.000104 -0.000035 
275 -0.000000 -0.000027 nan -0.000112 -0.000035 
276 -0.000000 -0.000023 nan -0.000065 -0.000027 
277 -0.000000 -0.000023 nan -0.000063 -0.000027 
278 -0.000000 -0.000023 nan -0.000059 -0.000027 
279 -0.000000 -0.000022 nan -0.000054 -0.000026 
280 -0.000000 -0.000021 nan -0.000047 -0.000023 
281 -0.000000 -0.000017 nan -0.000034 -0.000019 
282 -0.000000 -0.000011 nan -0.000012 -0.000011 
283 -0.000000 -0.000009 nan 0.000004 -0.000007 
284 -0.000000 -0.000008 nan 0.000005 -0.000007 
285 -0.000000 -0.000008 nan 0.000005 -0.000007 
286 -0.000000 -0.000008 nan 0.000005 -0.000007 
287 -0.000000 -0.000008 nan 0.000006 -0.000007 
288 -0.000000 -0.000008 nan -0.000002 -0.000007 
289 -0.000000 -0.000008 nan -0.000002 -0.000007 
290 -0.000000 -0.000008 nan -0.000002 -0.000007 
291 -0.000000 -0.000007 nan -0.000001 -0.000007 
292 -0.000000 -0.000010 nan -0.000008 -0.000010 
293 -0.000000 -0.000013 nan -0.000020 -0.000014 
294 -0.000000 -0.000014 nan -0.000025 -0.000015 
295 -0.000000 -0.000016 nan -0.000032 -0.000017 
296 -0.000000 -0.000017 nan -0.000038 -0.000020 
297 -0.000000 -0.000022 nan -0.000055 -0.000026 
298 -0.000000 -0.000027 nan -0.000103 -0.000035 
299 -0.000000 -0.000028 nan -0.000116 -0.000037 
300 -0.000000 -0.000022 nan -0.000059 -0.000026 
301 -0.000000 -0.000022 nan -0.000057 -0.000026 
302 -0.000000 -0.000022 nan -0.000054 -0.000025 
303 -0.000000 -0.000021 nan -0.000049 -0.000024 
304 -0.000000 -0.000021 nan -0.000046 -0.000024 
305 -0.000000 -0.000017 nan -0.000028 -0.000018 
306 -0.000000 -0.000010 nan -0.000004 -0.000009 
307 -0.000000 -0.000008 nan -0.000001 -0.000008 
308 -0.000000 -0.000008 nan -0.000000 -0.000007 
309 -0.000000 -0.000008 nan 0.000000 -0.000007 
310 -0.000000 -0.000008 nan 0.000001 -0.000007 
311 -0.000000 -0.000008 nan 0.000002 -0.000007 
312 -0.000000 -0.000008 nan 0.000002 -0.000007 
313 -0.000000 -0.000008 nan 0.000003 -0.000006 
314 -0.000000 -0.000007 nan 0.000003 -0.000006 
315 -0.000000 -0.000007 nan 0.000004 -0.000006 
316 -0.000000 -0.000010 nan -0.000003 -0.000009 
317 -0.000000 -0.000012 nan -0.000012 -0.000012 
318 -0.000000 -0.000014 nan -0.000022 -0.000015 
319 -0.000000 -0.000016 nan -0.000029 -0.000017 
320 -0.000000 -0.000017 nan -0.000037 -0.000019 
321 -0.000000 -0.000020 nan -0.000045 -0.000023 
322 -0.000000 -0.000026 nan -0.000096 -0.000033 
323 -0.000000 -0.000027 nan -0.000108 -0.000035 
324 -0.000000 -0.000022 nan -0.000057 -0.000026 
325 -0.000000 -0.000022 nan -0.000053 -0.000025 
326 -0.000000 -0.000022 nan -0.000055 -0.000026 
327 -0.000000 -0.000023 nan -0.000055 -0.000026 
328 -0.000000 -0.000021 nan -0.000043 -0.000023 
329 -0.000000 -0.000016 nan -0.000022 -0.000016 
330 -0.000000 -0.000010 nan -0.000005 -0.000010 
331 -0.000000 -0.000008 nan 0.000000 -0.000008 
332 -0.000000 -0.000008 nan 0.000001 -0.000008 
333 -0.000000 -0.000008 nan 0.000002 -0.000007 
334 -0.000000 -0.000008 nan 0.000002 -0.000007 
335 -0.000000 -0.000008 nan 0.000003 -0.000007 
336 -0.000000 -0.000008 nan 0.000004 -0.000006 
337 -0.000000 -0.000008 nan 0.000005 -0.000006 
338 -0.000000 -0.000007 nan 0.000005 -0.000006 
339 -0.000000 -0.000007 nan 0.000006 -0.000006 
340 -0.000000 -0.000011 nan -0.000004 -0.000010 
341 -0.000000 -0.000012 nan -0.000010 -0.000012 
342 -0.000000 -0.000014 nan -0.000021 -0.000015 
343 -0.000000 -0.000016 nan -0.000030 -0.000017 
344 -0.000000 -0.000018 nan -0.000037 -0.000020 
345 -0.000000 -0.000020 nan -0.000043 -0.000022 
346 -0.000000 -0.000027 nan -0.000098 -0.000034 
347 -0.000000 -0.000027 nan -0.000109 -0.000036 
348 -0.000000 -0.000022 nan -0.000054 -0.000025 
349 -0.000000 -0.000022 nan -0.000052 -0.000025 
350 -0.000000 -0.000022 nan -0.000050 -0.000025 
351 -0.000000 -0.000021 nan -0.000046 -0.000024 
352 -0.000000 -0.000020 nan -0.000040 -0.000022 
353 -0.000000 -0.000017 nan -0.000026 -0.000018 
354 -0.000000 -0.000011 nan -0.000007 -0.000010 
355 -0.000000 -0.000009 nan -0.000001 -0.000008 
356 -0.000000 -0.000009 nan -0.000000 -0.000008 
357 -0.000000 -0.000009 nan 0.000001 -0.000008 
358 -0.000000 -0.000008 nan 0.000003 -0.000007 
359 -0.000000 -0.000008 nan 0.000004 -0.000007 
360 -0.000000 -0.000008 nan 0.000005 -0.000007 
361 -0.000000 -0.000008 nan 0.000005 -0.000006 
362 -0.000000 -0.000008 nan 0.000006 -0.000006 
363 -0.000000 -0.000008 nan 0.000007 -0.000006 
364 -0.000000 -0.000009 nan 0.000002 -0.000008 
365 -0.000000 -0.000013 nan -0.000012 -0.000013 
366 -0.000000 -0.000015 nan -0.000023 -0.000016 
367 -0.000000 -0.000018 nan -0.000036 -0.000020 
368 -0.000000 -0.000017 nan -0.000032 -0.000019 
369 -0.000000 -0.000019 nan -0.000036 -0.000021 
370 -0.000000 -0.000028 nan -0.000103 -0.000035 
371 -0.000000 -0.000028 nan -0.000111 -0.000036 
372 -0.000000 -0.000022 nan -0.000053 -0.000025 
373 -0.000000 -0.000022 nan -0.000051 -0.000025 
374 -0.000000 -0.000022 nan -0.000048 -0.000025 
375 -0.000000 -0.000021 nan -0.000043 -0.000023 
376 -0.000000 -0.000020 nan -0.000036 -0.000021 
377 -0.000000 -0.000018 nan -0.000027 -0.000019 
378 -0.000000 -0.000010 nan 0.000001 -0.000009 
379 -0.000000 -0.000009 nan 0.000004 -0.000007 
380 -0.000000 -0.000009 nan 0.000004 -0.000007 
381 -0.000000 -0.000008 nan 0.000004 -0.000007 
382 -0.000000 -0.000008 nan 0.000005 -0.000007 
383 -0.000000 -0.000008 nan 0.000006 -0.000007 
384 -0.000000 -0.000008 nan 0.000006 -0.000006 
385 -0.000000 -0.000008 nan 0.000007 -0.000006 
386 -0.000000 -0.000008 nan 0.000007 -0.000006 
387 -0.000000 -0.000008 nan 0.000008 -0.000006 
388 -0.000000 -0.000010 nan 0.000001 -0.000009 
389 -0.000000 -0.000012 nan -0.000008 -0.000012 
390 -0.000000 -0.000014 nan -0.000018 -0.000014 
391 -0.000000 -0.000016 nan -0.000026 -0.000017 
392 -0.000000 -0.000017 nan -0.000033 -0.000019 
393 -0.000000 -0.000020 nan -0.000046 -0.000023 
394 -0.000000 -0.000023 nan -0.000083 -0.000029 
395 -0.000000 -0.000025 nan -0.000094 -0.000032 
396 -0.000000 -0.000022 nan -0.000053 -0.000025 
397 -0.000000 -0.000022 nan -0.000052 -0.000025 
398 -0.000000 -0.000021 nan -0.000048 -0.000024 
399 -0.000000 -0.000021 nan -0.000042 -0.000023 
400 -0.000000 -0.000020 nan -0.000036 -0.000021 
401 -0.000000 -0.000015 nan -0.000015 -0.000015 
402 -0.000000 -0.000010 nan 0.000002 -0.000008 
403 -0.000000 -0.000008 nan 0.000006 -0.000007 
404 -0.000000 -0.000008 nan 0.000007 -0.000007 
405 -0.000000 -0.000008 nan 0.000008 -0.000006 
406 -0.000000 -0.000008 nan 0.000008 -0.000006 
407 -0.000000 -0.000008 nan 0.000009 -0.000006 
408 -0.000000 -0.000008 nan 0.000010 -0.000006 
409 0.000000 -0.000007 nan 0.000010 -0.000006 
410 -0.000000 -0.000007 nan 0.000011 -0.000006 
411 -0.000000 -0.000007 nan 0.000011 -0.000005 
412 -0.000000 -0.000009 nan 0.000006 -0.000008 
413 0.000000 -0.000011 nan -0.000002 -0.000010 
414 0.000000 -0.000012 nan -0.000011 -0.000012 
415 -0.000000 -0.000014 nan -0.000020 -0.000015 
416 -0.000000 -0.000016 nan -0.000029 -0.000018 
417 0.000003 -0.000015 nan -0.000022 -0.000016 
418 0.000005 -0.000018 nan -0.000047 -0.000021 
419 0.000004 -0.000018 nan -0.000047 -0.000021 
420 0.000003 -0.000017 nan -0.000027 -0.000018 
421 0.000003 -0.000017 nan -0.000030 -0.000018 
422 0.000003 -0.000017 nan -0.000027 -0.000018 
423 0.000003 -0.000016 nan -0.000023 -0.000017 
424 0.000002 -0.000015 nan -0.000017 -0.000015 
425 0.000003 -0.000012 nan -0.000003 -0.000011 
426 -0.000000 -0.000009 nan 0.000007 -0.000007 
427 -0.000000 -0.000008 nan 0.000010 -0.000006 
428 0.000000 -0.000007 nan 0.000011 -0.000006 
429 0.000000 -0.000007 nan 0.000011 -0.000005 
430 0.000000 -0.000007 nan 0.000011 -0.000005 
431 -0.000000 -0.000007 nan 0.000011 -0.000005 
432 -0.000000 -0.000007 nan 0.000011 -0.000005 
433 -0.000000 -0.000007 nan 0.000011 -0.000005 
434 -0.000000 -0.000007 nan 0.000011 -0.000005 
435 -0.000000 -0.000007 nan 0.000011 -0.000005 
436 -0.000000 -0.000009 nan 0.000005 -0.000008 
437 -0.000000 -0.000010 nan -0.000001 -0.000009 
438 -0.000000 -0.000012 nan -0.000010 -0.000012 
439 0.000001 -0.000014 nan -0.000020 -0.000015 
440 0.000001 -0.000015 nan -0.000022 -0.000015 
441 0.000003 -0.000016 nan -0.000027 -0.000018 
442 0.000003 -0.000020 nan -0.000060 -0.000024 
443 -0.000000 -0.000022 nan -0.000074 -0.000027 
444 -0.000000 -0.000019 nan -0.000038 -0.000021 
445 -0.000000 -0.000018 nan -0.000035 -0.000020 
446 -0.000000 -0.000018 nan -0.000031 -0.000019 
447 -0.000000 -0.000017 nan -0.000028 -0.000018 
448 -0.000000 -0.000016 nan -0.000020 -0.000016 
449 -0.000000 -0.000014 nan -0.000012 -0.000013 
450 -0.000000 -0.000008 nan 0.000007 -0.000007 
451 -0.000000 -0.000008 nan 0.000008 -0.000006 
452 -0.000000 -0.000007 nan 0.000009 -0.000006 
453 -0.000000 -0.000007 nan 0.000009 -0.000006 
454 -0.000000 -0.000007 nan 0.000009 -0.000006 
455 -0.000000 -0.000007 nan 0.000010 -0.000005 
456 -0.000000 -0.000007 nan 0.000010 -0.000005 
457 -0.000000 -0.000007 nan 0.000010 -0.000005 
458 -0.000000 -0.000007 nan 0.000010 -0.000005 
459 -0.000000 -0.000007 nan 0.000010 -0.000005 
460 -0.000000 -0.000008 nan 0.000006 -0.000007 
461 -0.000000 -0.000010 nan -0.000002 -0.000009 
462 -0.000000 -0.000012 nan -0.000009 -0.000011 
463 -0.000000 -0.000014 nan -0.000017 -0.000014 
464 -0.000000 -0.000015 nan -0.000021 -0.000016 
465 -0.000000 -0.000017 nan -0.000017 -0.000017 
466 -0.000000 -0.000027 nan -0.000092 -0.000033 
467 -0.000000 -0.000024 nan -0.000087 -0.000030 
468 -0.000000 -0.000020 nan -0.000041 -0.000022 
469 -0.000000 -0.000020 nan -0.000038 -0.000022 
470 -0.000000 -0.000020 nan -0.000035 -0.000021 
471 -0.000000 -0.000019 nan -0.000034 -0.000021 
472 -0.000000 -0.000018 nan -0.000029 -0.000019 
473 -0.000000 -0.000016 nan -0.000021 -0.000017 
474 -0.000000 -0.000009 nan 0.000011 -0.000007 
475 -0.000000 -0.000008 nan 0.000013 -0.000006 
