#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Transpiration from low and high vegetation 
# 0:time [hr] 1:TEgveg_imp [kg m^-2 s^-1] 2:TEtree_imp [kg m^-2 s^-1] 3:TEgveg_bare [kg m^-2 s^-1] 4:TEtree_bare [kg m^-2 s^-1] 5:TEgveg_veg [kg m^-2 s^-1] 6:TEtree_veg [kg m^-2 s^-1]
0 0.000000 0.000000 nan nan 0.000014 0.000008 
1 0.000000 0.000000 nan nan 0.000012 0.000006 
2 0.000000 0.000000 nan nan 0.000011 0.000006 
3 0.000000 0.000000 nan nan 0.000010 0.000005 
4 0.000000 0.000000 nan nan 0.000011 0.000018 
5 0.000000 0.000000 nan nan 0.000028 0.000035 
6 0.000000 0.000000 nan nan 0.000026 0.000039 
7 0.000000 0.000000 nan nan 0.000032 0.000046 
8 0.000000 0.000000 nan nan 0.000040 0.000057 
9 0.000000 0.000000 nan nan 0.000048 0.000076 
10 0.000000 0.000000 nan nan 0.000064 0.000125 
11 0.000000 0.000000 nan nan 0.000061 0.000168 
12 0.000000 0.000000 nan nan 0.000034 0.000166 
13 0.000000 0.000000 nan nan 0.000006 0.000171 
14 0.000000 0.000000 nan nan 0.000004 0.000139 
15 0.000000 0.000000 nan nan 0.000004 0.000108 
16 0.000000 0.000000 nan nan 0.000003 0.000074 
17 0.000000 0.000000 nan nan 0.000003 0.000056 
18 0.000000 0.000000 nan nan 0.000002 0.000029 
19 0.000000 0.000000 nan nan 0.000002 0.000006 
20 0.000000 0.000000 nan nan 0.000005 0.000005 
21 0.000000 0.000000 nan nan 0.000006 0.000005 
22 0.000000 0.000000 nan nan 0.000006 0.000005 
23 0.000000 0.000000 nan nan 0.000006 0.000005 
24 0.000000 0.000000 nan nan 0.000006 0.000005 
25 0.000000 0.000000 nan nan 0.000006 0.000004 
26 0.000000 0.000000 nan nan 0.000006 0.000004 
27 0.000000 0.000000 nan nan 0.000006 0.000004 
28 0.000000 0.000000 nan nan 0.000007 0.000014 
29 0.000000 0.000000 nan nan 0.000017 0.000028 
30 0.000000 0.000000 nan nan 0.000025 0.000036 
31 0.000000 0.000000 nan nan 0.000036 0.000053 
32 0.000000 0.000000 nan nan 0.000040 0.000082 
33 0.000000 0.000000 nan nan 0.000035 0.000099 
34 0.000000 0.000000 nan nan 0.000008 0.000114 
35 0.000000 0.000000 nan nan 0.000007 0.000136 
36 0.000000 0.000000 nan nan 0.000007 0.000149 
37 0.000000 0.000000 nan nan 0.000006 0.000147 
38 0.000000 0.000000 nan nan 0.000006 0.000139 
39 0.000000 0.000000 nan nan 0.000005 0.000119 
40 0.000000 0.000000 nan nan 0.000005 0.000103 
41 0.000000 0.000000 nan nan 0.000004 0.000067 
42 0.000000 0.000000 nan nan 0.000002 0.000029 
43 0.000000 0.000000 nan nan 0.000001 0.000005 
44 0.000000 0.000000 nan nan 0.000001 0.000003 
45 0.000000 0.000000 nan nan 0.000000 0.000001 
46 0.000000 0.000000 nan nan -0.000000 0.000000 
47 0.000000 0.000000 nan nan 0.000000 -0.000000 
48 0.000000 0.000000 nan nan 0.000000 -0.000000 
49 0.000000 0.000000 nan nan 0.000001 -0.000000 
50 0.000000 0.000000 nan nan 0.000001 0.000000 
51 0.000000 0.000000 nan nan 0.000001 0.000002 
52 0.000000 0.000000 nan nan 0.000010 0.000014 
53 0.000000 0.000000 nan nan 0.000029 0.000038 
54 0.000000 0.000000 nan nan 0.000034 0.000052 
55 0.000000 0.000000 nan nan 0.000044 0.000082 
56 0.000000 0.000000 nan nan 0.000044 0.000101 
57 0.000000 0.000000 nan nan 0.000045 0.000108 
58 0.000000 0.000000 nan nan 0.000043 0.000109 
59 0.000000 0.000000 nan nan 0.000046 0.000117 
60 0.000000 0.000000 nan nan 0.000040 0.000110 
61 0.000000 0.000000 nan nan 0.000039 0.000105 
62 0.000000 0.000000 nan nan 0.000036 0.000096 
63 0.000000 0.000000 nan nan 0.000038 0.000105 
64 0.000000 0.000000 nan nan 0.000027 0.000095 
65 0.000000 0.000000 nan nan 0.000017 0.000059 
66 0.000000 0.000000 nan nan 0.000001 0.000019 
67 0.000000 0.000000 nan nan 0.000001 0.000002 
68 0.000000 0.000000 nan nan 0.000000 0.000000 
69 0.000000 0.000000 nan nan 0.000000 -0.000001 
70 0.000000 0.000000 nan nan -0.000000 -0.000003 
71 0.000000 0.000000 nan nan -0.000000 -0.000003 
72 0.000000 0.000000 nan nan -0.000000 -0.000002 
73 0.000000 0.000000 nan nan 0.000000 -0.000002 
74 0.000000 0.000000 nan nan -0.000000 -0.000003 
75 0.000000 0.000000 nan nan -0.000000 -0.000002 
76 0.000000 0.000000 nan nan 0.000004 0.000010 
77 0.000000 0.000000 nan nan 0.000025 0.000036 
78 0.000000 0.000000 nan nan 0.000031 0.000067 
79 0.000000 0.000000 nan nan 0.000042 0.000104 
80 0.000000 0.000000 nan nan 0.000051 0.000141 
81 0.000000 0.000000 nan nan 0.000057 0.000173 
82 0.000000 0.000000 nan nan 0.000064 0.000197 
83 0.000000 0.000000 nan nan 0.000071 0.000224 
84 0.000000 0.000000 nan nan 0.000073 0.000245 
85 0.000000 0.000000 nan nan 0.000069 0.000258 
86 0.000000 0.000000 nan nan 0.000031 0.000203 
87 0.000000 0.000000 nan nan 0.000009 0.000165 
88 0.000000 0.000000 nan nan 0.000006 0.000148 
89 0.000000 0.000000 nan nan 0.000004 0.000083 
90 0.000000 0.000000 nan nan 0.000002 0.000030 
91 0.000000 0.000000 nan nan 0.000001 0.000006 
92 0.000000 0.000000 nan nan 0.000001 0.000005 
93 0.000000 0.000000 nan nan 0.000000 0.000003 
94 0.000000 0.000000 nan nan 0.000000 0.000002 
95 0.000000 0.000000 nan nan 0.000002 0.000003 
96 0.000000 0.000000 nan nan 0.000004 0.000004 
97 0.000000 0.000000 nan nan 0.000003 0.000003 
98 0.000000 0.000000 nan nan 0.000004 0.000004 
99 0.000000 0.000000 nan nan 0.000004 0.000003 
100 0.000000 0.000000 nan nan 0.000012 0.000021 
101 0.000000 0.000000 nan nan 0.000018 0.000040 
102 0.000000 0.000000 nan nan 0.000026 0.000079 
103 0.000000 0.000000 nan nan 0.000035 0.000118 
104 0.000000 0.000000 nan nan 0.000043 0.000162 
105 0.000000 0.000000 nan nan 0.000054 0.000195 
106 0.000000 0.000000 nan nan 0.000063 0.000213 
107 0.000000 0.000000 nan nan 0.000067 0.000221 
108 0.000000 0.000000 nan nan 0.000070 0.000246 
109 0.000000 0.000000 nan nan 0.000067 0.000240 
110 0.000000 0.000000 nan nan 0.000057 0.000219 
111 0.000000 0.000000 nan nan 0.000011 0.000183 
112 0.000000 0.000000 nan nan 0.000007 0.000147 
113 0.000000 0.000000 nan nan 0.000005 0.000088 
114 0.000000 0.000000 nan nan 0.000002 0.000035 
115 0.000000 0.000000 nan nan 0.000001 0.000005 
116 0.000000 0.000000 nan nan 0.000000 0.000003 
117 0.000000 0.000000 nan nan 0.000000 0.000002 
118 0.000000 0.000000 nan nan 0.000000 0.000002 
119 0.000000 0.000000 nan nan 0.000000 0.000002 
120 0.000000 0.000000 nan nan 0.000000 0.000001 
121 0.000000 0.000000 nan nan 0.000000 0.000000 
122 0.000000 0.000000 nan nan 0.000000 -0.000000 
123 0.000000 0.000000 nan nan 0.000000 -0.000001 
124 0.000000 0.000000 nan nan 0.000009 0.000019 
125 0.000000 0.000000 nan nan 0.000023 0.000039 
126 0.000000 0.000000 nan nan 0.000027 0.000075 
127 0.000000 0.000000 nan nan 0.000038 0.000122 
128 0.000000 0.000000 nan nan 0.000050 0.000164 
129 0.000000 0.000000 nan nan 0.000064 0.000200 
130 0.000000 0.000000 nan nan 0.000077 0.000231 
131 0.000000 0.000000 nan nan 0.000080 0.000234 
132 0.000000 0.000000 nan nan 0.000086 0.000261 
133 0.000000 0.000000 nan nan 0.000082 0.000257 
134 0.000000 0.000000 nan nan 0.000076 0.000229 
135 0.000000 0.000000 nan nan 0.000061 0.000191 
136 0.000000 0.000000 nan nan 0.000024 0.000169 
137 0.000000 0.000000 nan nan 0.000012 0.000098 
138 0.000000 0.000000 nan nan 0.000003 0.000037 
139 0.000000 0.000000 nan nan 0.000001 0.000006 
140 0.000000 0.000000 nan nan 0.000001 0.000006 
141 0.000000 0.000000 nan nan 0.000001 0.000005 
142 0.000000 0.000000 nan nan 0.000004 0.000005 
